name,strength,dexterity,intelligence,faith,type
dark wood grain ring,0,26,0,0,ring
titanite shard,0,0,0,0,upgrade
raw gem,0,0,0,0,upgrade
havel's greatshield,35,0,13,13,shield
silver knight spear,0,22,0,26,weapon
parrying dagger,0,21,21,21,weapon
uchigatana,0,32,0,14,weapon
black firebombs,0,0,20,20,weapon
poison throwing knives,0,14,14,0,weapon
great scythe,32,21,0,0,weapon
claws,0,20,20,0,weapon
dragonslayer greatbow,23,23,0,0,weapon
giant's halberd,27,0,0,23,weapon
silver knight armour,26,26,0,0,shield
