name,strength,dexterity,intelligence,faith,type
crescent moon sword,0,17,0,17,weapon
morion blade,24,24,0,0,weapon
witch locks,0,0,31,0,weapon
blacksteel katana,0,23,0,0,weapon
golden ritual spear,0,0,24,21,weapon
alonne greatbow,20,20,0,0,weapon
black bow of pharis,0,33,0,0,weapon
flamberge,0,35,0,0,weapon
porcine shield,24,0,0,0,shield
old ironclad armour,34,0,0,0,armour
phoenix parma shield,0,0,0,20,shield
alonne knight armour,20,0,20,0,armour
alonne captain armour,25,0,25,0,armour
life ring,0,0,0,30,ring
alonne great bow,20,20,0,0,weapon
